sample_id,collection_date,location
9.06.23.PLSEP04.R2__NA__NA__230911_WW__00X,2023-09-04,Point Loma
9.06.23.SBSEP03.R2__NA__NA__230911_WW__00X,2023-09-03,South Bay
9.06.23.SBSEP05.R2__NA__NA__230911_WW__00X,2023-09-05,South Bay
9.08.23.PLSEP05.R2__NA__NA__230911_WW__00X,2023-09-05,Point Loma
9.08.23.PLSEP06.R1__NA__NA__230911_WW__00X,2023-09-06,Point Loma
9.13.23.ENCSEP06.R2__NA__NA__230922_WW__00X,2023-09-06,Encina
9.13.23.ENCSEP12.R1__NA__NA__230922_WW__00X,2023-09-12,Encina
9.13.23.PLSEP10.R1__NA__NA__230922_WW__00X,2023-09-10,Point Loma
9.13.23.PLSEP11.R2__NA__NA__230922_WW__00X,2023-09-11,Point Loma
9.13.23.SBSEP07.R1__NA__NA__230922_WW__00X,2023-09-07,South Bay
9.13.23.SBSEP12.R2__NA__NA__230922_WW__00X,2023-09-12,South Bay
9.15.23.PLSEP12.R1__NA__NA__230922_WW__00X,2023-09-12,Point Loma
9.15.23.PLSEP13.R2__NA__NA__230922_WW__00X,2023-09-13,Point Loma
9.20.23.ENCSEP15.R1__NA__NA__230929_WW__00X,2023-09-15,Encina
9.20.23.ENCSEP19.R1__NA__NA__230929_WW__00X,2023-09-19,Encina
9.20.23.PLSEP17.R1__NA__NA__230929_WW__00X,2023-09-17,Point Loma
9.20.23.PLSEP18.R1__NA__NA__230929_WW__00X,2023-09-18,Point Loma
9.20.23.SBSEP14.R1__NA__NA__230929_WW__00X,2023-09-14,South Bay
9.20.23.SBSEP19.R2__NA__NA__230929_WW__00X,2023-09-19,South Bay
9.22.23.PLSEP19.R1__NA__NA__230929_WW__00X,2023-09-19,Point Loma
9.22.23.PLSEP20.R1__NA__NA__230929_WW__00X,2023-09-20,Point Loma
9.27.23.ENCSEP21.R2__NA__NA__230929_WW__00X,2023-09-21,Encina
9.27.23.ENCSEP25.R2__NA__NA__230929_WW__00X,2023-09-25,Encina
9.27.23.PLSEP24.R2__NA__NA__230929_WW__00X,2023-09-24,Point Loma
9.27.23.PLSEP25.R1__NA__NA__230929_WW__00X,2023-09-25,Point Loma
9.27.23.SBSEP21.R2__NA__NA__230929_WW__00X,2023-09-21,South Bay
9.27.23.SBSEP24.R2__NA__NA__230929_WW__00X,2023-09-24,South Bay
9.29.23.PLSEP26.R1__NA__NA__230929_WW__00X,2023-09-26,Point Loma
9.29.23.PLSEP27.R1__NA__NA__230929_WW__00X,2023-09-27,Point Loma
